City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Flinders,AU,-34.5833,150.8552,61.0,50,1,8.99,clear sky
244,Broome,US,42.2506,-75.833,68.0,49,1,8.05,clear sky
245,Maneadero,MX,31.7167,-116.5667,66.0,78,47,5.01,scattered clouds
246,Kropotkin,RU,45.4375,40.5756,42.01,82,100,2.35,overcast clouds
247,Caravelas,BR,-17.7125,-39.2481,74.17,82,1,5.01,clear sky
248,Saltillo,MX,25.4167,-101.0,84.2,23,1,16.11,clear sky
249,Emmauss,RU,56.7805,36.115,38.61,74,24,8.21,few clouds
250,Sinnamary,GF,5.3833,-52.95,77.65,87,80,7.29,moderate rain
251,Broken Hill,AU,-31.95,141.4333,55.4,62,40,19.57,scattered clouds
252,Kidal,ML,18.4411,1.4078,85.3,10,0,9.62,clear sky
253,Labuhan,ID,-6.8844,112.2051,79.36,86,75,6.29,moderate rain
254,Umea,SE,63.8284,20.2597,27.0,80,0,5.75,clear sky
255,Sokoni,TZ,-6.4333,39.55,80.6,80,98,11.45,light rain
256,Altamira,BR,-3.2033,-52.2064,74.84,94,97,1.86,overcast clouds
257,Mindelo,CV,16.8901,-24.9804,69.8,78,20,24.16,few clouds
258,Acapulco,MX,16.8634,-99.8901,84.2,70,40,9.22,scattered clouds
259,Uruzgan,AF,32.8333,66.0,55.98,51,99,5.01,overcast clouds
260,Talnakh,RU,69.4865,88.3972,29.07,97,100,4.94,overcast clouds
261,Northam,GB,51.0333,-4.2167,41.0,79,31,5.99,scattered clouds
262,San Ramon,US,37.7799,-121.978,75.2,29,1,10.36,clear sky
263,Ulladulla,AU,-35.35,150.4667,57.2,41,1,18.41,clear sky
264,Tuatapere,NZ,-46.1333,167.6833,60.01,87,97,10.0,overcast clouds
265,Biloela,AU,-24.4167,150.5,81.07,48,99,7.09,overcast clouds
266,Karlstad,SE,59.3793,13.5036,30.2,80,3,3.44,clear sky
267,Gull Lake,CA,50.1001,-108.4847,46.4,61,75,16.11,broken clouds
268,Piacabucu,BR,-10.4056,-36.4344,77.5,85,73,7.72,broken clouds
269,Zaysan,KZ,47.4667,84.8667,37.63,44,0,4.38,clear sky
270,Aksay,RU,47.26,39.87,46.99,66,40,4.47,moderate rain
271,Haimen,CN,23.1935,116.6142,64.4,82,0,2.24,clear sky
272,Haines Junction,CA,60.7522,-137.5108,10.4,24,97,5.75,overcast clouds
273,Fort Nelson,CA,58.8053,-122.7002,23.0,46,75,9.22,broken clouds
274,Sinazongwe,ZM,-17.2614,27.4618,69.6,59,31,4.03,scattered clouds
275,Betare Oya,CM,5.6,14.0833,71.83,73,67,2.28,light rain
276,Jacareacanga,BR,-6.2222,-57.7528,76.55,85,73,0.6,broken clouds
277,Aklavik,CA,68.2191,-135.0107,-0.4,50,20,8.05,few clouds
278,Lisakovsk,KZ,52.5369,62.4936,31.68,97,93,4.83,overcast clouds
279,Payo,ID,-3.7508,103.6372,74.48,92,62,0.31,broken clouds
280,Peniche,PT,39.3558,-9.3811,60.01,91,7,5.99,clear sky
281,Ust-Maya,RU,60.4167,134.5333,19.6,93,100,6.67,snow
282,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,75,11.5,broken clouds
283,Sakaiminato,JP,35.55,133.2333,46.4,81,20,2.3,few clouds
284,Katsuura,JP,35.1333,140.3,53.6,54,20,6.91,few clouds
285,Portland,US,45.5234,-122.6762,53.01,40,75,11.5,broken clouds
286,Pitimbu,BR,-7.4706,-34.8086,75.2,100,75,6.91,broken clouds
287,Bitung,ID,1.4451,125.1824,75.2,94,20,4.18,few clouds
288,Macusani,PE,-14.0833,-70.4333,37.99,90,83,3.42,broken clouds
289,Rupert,US,42.6191,-113.6772,64.4,17,1,17.27,clear sky
290,Shimoda,JP,34.6667,138.95,55.4,62,20,16.11,few clouds
291,Monrovia,LR,6.3005,-10.7969,78.8,94,40,7.34,scattered clouds
