City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Bandarbeyla,SO,2021-04-10 23:27:03,9.4942,50.8122,78.01,72,0,6.76
185,Butaritari,KI,2021-04-10 23:25:22,3.0707,172.7902,81.99,77,99,14.65
186,Mvuma,ZW,2021-04-10 23:27:03,-19.2792,30.5283,58.93,71,17,9.22
187,Hay River,CA,2021-04-10 23:23:03,60.8156,-115.7999,6.8,56,100,4.61
188,Tevaitoa,PF,2021-04-10 23:27:04,-16.7833,-151.5,82.11,71,84,10.04
189,Reynosa,MX,2021-04-10 23:27:04,26.0833,-98.2833,87.8,42,40,11.5
190,Kargasok,RU,2021-04-10 23:27:04,59.0556,80.8572,31.3,91,99,8.01
191,Shimoda,JP,2021-04-10 23:24:29,34.6667,138.95,55.4,62,20,16.11
192,Marawi,PH,2021-04-10 23:27:04,7.9986,124.2928,75.99,94,97,1.99
193,Kenai,US,2021-04-10 23:27:05,60.5544,-151.2583,24.8,38,1,12.66
194,Altay,CN,2021-04-10 23:25:48,47.8667,88.1167,33.24,39,0,11.1
195,Encheng,CN,2021-04-10 23:27:05,22.1839,112.3026,68.34,84,58,3.06
196,Urengoy,RU,2021-04-10 23:27:05,65.9667,78.3667,17.49,96,54,6.13
197,Saint George,US,2021-04-10 23:25:47,37.1041,-113.5841,82.99,7,1,11.5
198,Kloulklubed,PW,2021-04-10 23:27:06,7.0419,134.2556,84.2,79,75,3.44
199,Klaebu,NO,2021-04-10 23:27:06,63.2976,10.4826,35.6,69,75,9.22
200,Kavaratti,IN,2021-04-10 23:24:25,10.5669,72.642,82.11,72,10,5.44
201,Longkou,CN,2021-04-10 23:27:06,37.6508,120.3286,49.24,76,97,9.35
202,Broken Hill,AU,2021-04-10 23:27:07,-31.95,141.4333,55.4,62,40,19.57
203,Vardo,NO,2021-04-10 23:25:22,70.3705,31.1107,19.4,68,0,25.32
204,Kinablangan,PH,2021-04-10 23:27:07,7.6947,126.5503,79.11,83,100,5.61
205,Beloha,MG,2021-04-10 23:25:49,-25.1667,45.05,69.73,97,5,5.66
206,Luderitz,NA,2021-04-10 23:24:42,-26.6481,15.1594,72.45,53,0,7.63
207,Batticaloa,LK,2021-04-10 23:27:08,7.7102,81.6924,78.37,81,66,5.82
208,Broome,US,2021-04-10 23:27:08,42.2506,-75.833,68.0,49,1,8.05
209,Kodiak,US,2021-04-10 23:23:57,57.79,-152.4072,35.6,64,90,10.36
210,Mae Sot,TH,2021-04-10 23:27:08,16.7167,98.5667,75.2,94,20,1.28
211,Masterton,NZ,2021-04-10 23:27:09,-40.9597,175.6575,70.0,95,53,3.0
